CSVFile,InputData,Kernel,Data,DataID,DRAM Frequency,SM Frequency,Elapsed Cycles,Memory [%],SOL DRAM,Duration,SOL L1/TEX Cache,SOL L2 Cache,SM Active Cycles,SM [%],Block Size,Grid Size,Registers Per Thread,Shared Memory Configuration Size,Driver Shared Memory Per Block,Dynamic Shared Memory Per Block,Static Shared Memory Per Block,Threads,Waves Per SM,Block Limit SM,Block Limit Registers,Block Limit Shared Mem,Block Limit Warps,Theoretical Active Warps per SM,Theoretical Occupancy,Achieved Occupancy,Achieved Active Warps Per SM,variant,BeginAddr,EndAddr,DataSize,CPUPageFault,GPUPagePault,HtoD,DtoH,RemoteMap,label
rodinia_3.1_cuda_lud_labelled-lassen.csv,1792,lud_perimeter,m,0,471201699.0109091,702904211.5869697,7626.939393939395,5.2027272727272695,3.7021212121212113,10846.060606060606,9.786969696969695,3.1196969696969687,4049.907272727273,4.270303030303031,32.0,94.0,81.0,65536.0,0.0,0.0,3072.0,3008.0,0.0590909090909091,32.0,20.0,32.0,64.0,20.0,31.25,1.836969696969697,1.1763636363636365,1,0x200060000000,0x200060c40000,12845056,39,21,12544.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2048,lud_diagonal,m,0,805845158.3897058,1205138523.2623527,18096.176470588234,0.1,0.01,15014.588235294115,9.398529411764708,0.05,187.74058823529407,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200061000000,16777216,48,22,16384.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2048,lud_internal,m,0,863426895.0024242,1280118531.410909,73154.72727272728,65.40272727272728,44.31121212121213,56980.36363636363,69.54424242424243,35.02666666666667,68734.30272727272,50.04090909090908,256.0,12190.666666666664,30.0,16384.0,0.0,0.0,2048.0,3120810.666666666,19.04848484848485,32.0,8.0,48.0,8.0,64.0,100.0,89.35878787878788,57.19060606060608,1,0x200060000000,0x200061000000,16777216,48,22,16384.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2048,lud_perimeter,m,0,465915521.4587878,694612566.490303,7474.242424242424,6.21151515151515,4.414848484848486,10755.878787878788,11.82151515151515,3.626969696969697,3925.32606060606,5.100000000000001,32.0,110.0,81.0,65536.0,0.0,0.0,3072.0,3520.0,0.0687878787878788,32.0,20.0,32.0,64.0,20.0,31.25,2.1387878787878787,1.3690909090909091,1,0x200060000000,0x200061000000,16777216,48,22,16384.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2304,lud_diagonal,m,0,803910124.8238236,1202112259.3085294,18071.41176470588,0.1,0.01,15031.529411764706,9.37794117647059,0.05,188.14441176470584,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200061440000,21233664,63,15,20736.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2304,lud_internal,m,0,867464423.8199999,1287549098.0254548,96941.0606060606,64.48303030303029,45.09272727272728,75195.15151515152,67.50666666666663,33.368787878787884,92555.31575757574,49.41878787878788,256.0,15966.666666666664,30.0,16384.0,0.0,0.0,2048.0,4087466.666666666,24.94848484848485,32.0,8.0,48.0,8.0,64.0,100.0,89.87969696969697,57.52333333333333,1,0x200060000000,0x200061440000,21233664,63,15,20736.0,0.0,0.0,1
rodinia_3.1_cuda_lud_labelled-lassen.csv,2304,lud_perimeter,m,0,482005611.4560607,718201888.9278789,7817.151515151515,6.802727272727271,4.828484848484847,10882.90909090909,12.607272727272727,3.8890909090909087,4217.571818181819,5.583333333333332,32.0,126.0,81.0,65536.0,0.0,0.0,3072.0,4032.0,0.0784848484848484,32.0,20.0,32.0,64.0,20.0,31.25,2.439393939393939,1.5612121212121213,1,0x200060000000,0x200061440000,21233664,63,15,20736.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2560,lud_diagonal,m,0,803404326.0173532,1201654867.4791176,18083.0,0.1,0.01,15046.588235294115,9.39735294117647,0.05,187.7652941176471,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200061900000,26214400,77,18,25600.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2560,lud_internal,m,0,870392635.9948485,1292974787.6030302,122314.57575757576,64.81272727272727,46.23727272727273,94500.84848484848,67.26969696969695,34.127272727272725,117805.54393939396,49.68666666666667,256.0,20254.666666666668,30.0,16384.0,0.0,0.0,2048.0,5185194.666666667,31.64878787878788,32.0,8.0,48.0,8.0,64.0,100.0,90.50545454545454,57.92363636363636,1,0x200060000000,0x200061900000,26214400,77,18,25600.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2560,lud_perimeter,m,0,487479999.1357576,725908779.4466668,7926.787878787878,7.5630303030303025,5.3609090909090895,10916.848484848484,14.193333333333332,4.253333333333332,4221.365151515151,6.206969696969698,32.0,142.0,81.0,65536.0,0.0,0.0,3072.0,4544.0,0.0887878787878788,32.0,20.0,32.0,64.0,20.0,31.25,2.7381818181818183,1.7524242424242424,1,0x200060000000,0x200061900000,26214400,77,18,25600.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2816,lud_diagonal,m,0,802913276.7238238,1201290406.2605882,18093.147058823528,0.1,0.01,15059.764705882351,9.383823529411767,0.05,188.04147058823528,0.06,16.0,1.0,32.0,32768.0,0.0,0.0,1024.0,16.0,0.0,32.0,64.0,96.0,64.0,32.0,50.0,1.5600000000000005,1.0,1,0x200060000000,0x200061e40000,31719424,93,18,30976.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2816,lud_internal,m,0,872594267.5827272,1297047904.3372731,149986.15151515152,65.34454545454545,47.27878787878788,115527.75757575755,67.2539393939394,33.92727272727273,145647.91787878788,50.11515151515152,256.0,25054.66666666667,30.0,16384.0,0.0,0.0,2048.0,6413994.666666668,39.148787878787886,32.0,8.0,48.0,8.0,64.0,100.0,90.79969696969698,58.11242424242424,1,0x200060000000,0x200061e40000,31719424,93,18,30976.0,0.0,0.0,0
rodinia_3.1_cuda_lud_labelled-lassen.csv,2816,lud_perimeter,m,0,480615520.4484847,715705871.5175759,7925.424242424242,8.424545454545454,5.963636363636365,11069.090909090908,15.631515151515153,4.671818181818182,4267.901515151515,6.90848484848485,32.0,158.0,81.0,65536.0,0.0,0.0,3072.0,5056.0,0.099090909090909,32.0,20.0,32.0,64.0,20.0,31.25,3.0269696969696964,1.9375757575757573,1,0x200060000000,0x200061e40000,31719424,93,18,30976.0,0.0,0.0,0
